,Year,Month,State,Primary Mode,Etiology,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths
43068,2016,3,California,1,Norovirus unknown,Suspected,Grocery store,3,0.0,3.0,0.0,3.0
43070,2016,11,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,4,0.0,4.0,0.0,4.0
43071,2016,12,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,24,0.0,24.0,0.0,24.0
43075,2017,6,Ohio,0,Norovirus Genogroup II; Norovirus Genogroup II,Confirmed; Suspected,Long-term care/nursing home/assisted living facility,68,2.0,68.0,0.0,68.0
43076,2017,6,Pennsylvania,2,Norovirus Genogroup I; Norovirus Genogroup I; Norovirus unknown; Norovirus Genogroup II; Norovirus Genogroup I; Norovirus Genogroup II,Suspected; Confirmed; Suspected; Confirmed; Confirmed; Confirmed,Festival/fair,179,0.0,0.0,0.0,179.0
43078,2017,6,Minnesota,0,Norovirus,Suspected,School/college/university,8,0.0,0.0,0.0,0.0
43080,2017,6,Massachusetts,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,7,0.0,7.0,0.0,7.0
43081,2017,6,Pennsylvania,0,Salmonella enterica,Confirmed,Unknown,2,2.0,2.0,0.0,2.0
43082,2017,4,Multistate,1,"Escherichia coli, Shiga toxin-producing",Confirmed,Unknown,9,3.0,8.0,0.0,8.0
43083,2017,5,Texas,0,"Escherichia coli, Shiga toxin-producing",Confirmed,Child day care,2,0.0,2.0,0.0,2.0
43085,2016,12,California,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,5,0.0,3.0,0.0,4.0
43086,2017,1,California,1,Ciguatoxin,Confirmed,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3.0
43087,2016,8,California,1,Norovirus unknown,Confirmed,Other,5,0.0,5.0,0.0,5.0
43088,2016,9,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,7,0.0,7.0,0.0,7.0
43089,2016,3,California,1,Norovirus unknown,Confirmed,Restaurant - Sit-down dining,11,0.0,11.0,0.0,11.0
43090,2016,9,California,1,Norovirus unknown,Suspected,Caterer (food prepared off-site from where served),4,0.0,4.0,0.0,4.0
43091,2016,9,California,1,Norovirus unknown,Confirmed,Caterer (food prepared off-site from where served),19,0.0,19.0,0.0,19.0
43093,2016,7,California,1,Other - Bacterium,Suspected,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3.0
43094,2016,7,California,1,Salmonella enterica,Confirmed,Camp; Other,29,2.0,14.0,0.0,29.0
43095,2016,6,California,1,Norovirus Genogroup II; Norovirus Genogroup II,Confirmed; Suspected,Restaurant - Sit-down dining,5,0.0,5.0,0.0,5.0
43096,2016,9,California,1,Shigella sonnei,Confirmed,Caterer (food prepared off-site from where served),3,1.0,3.0,0.0,3.0
43099,2016,7,California,1,Salmonella enterica,Suspected,Caterer (food prepared off-site from where served),25,0.0,18.0,0.0,20.0
43100,2017,6,South Carolina,0,Shigella sonnei,Confirmed,Child day care,8,0.0,8.0,0.0,8.0
43102,2017,2,Colorado,1,Norovirus unknown,Confirmed,Restaurant - Sit-down dining,9,0.0,0.0,0.0,9.0
43103,2017,2,Colorado,0,Norovirus unknown; Rotavirus,Suspected; Suspected,Child day care,28,0.0,28.0,0.0,28.0
43104,2017,5,Pennsylvania,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,21,2.0,21.0,0.0,21.0
43106,2017,6,Wisconsin,0,"Norovirus Genogroup I; Escherichia coli, Enteropathogenic",Confirmed; Suspected,Camp,28,0.0,28.0,0.0,28.0
43107,2017,6,Wisconsin,1,Norovirus Genogroup II,Suspected,Private home/residence,20,0.0,20.0,0.0,20.0
43108,2017,5,Indiana,0,Norovirus Genogroup II,Confirmed,Event space,31,0.0,19.0,0.0,19.0
43109,2016,1,Delaware,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,20,0.0,20.0,0.0,20.0
43111,2017,6,Florida,1,Ciguatoxin,Confirmed,Restaurant - Sit-down dining,2,0.0,2.0,0.0,2.0
43112,2016,2,Delaware,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,9,0.0,9.0,0.0,9.0
43113,2016,2,Delaware,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,22,2.0,22.0,0.0,22.0
43114,2016,2,Delaware,0,Norovirus Genogroup II,Suspected,Other healthcare facility,9,0.0,9.0,0.0,9.0
43115,2016,1,Delaware,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,33,2.0,33.0,0.0,33.0
43116,2016,12,Delaware,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,9,0.0,9.0,0.0,9.0
43117,2016,1,Vermont,1,Campylobacter jejuni,Confirmed,Restaurant - Sit-down dining,5,0.0,5.0,0.0,5.0
43118,2017,1,Nebraska,2,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,16,1.0,16.0,0.0,16.0
43119,2017,1,Nebraska,2,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,18,0.0,18.0,0.0,18.0
43120,2017,6,Nebraska,1,Norovirus Genogroup I,Confirmed,Restaurant - Sit-down dining,15,0.0,15.0,0.0,15.0
43121,2017,3,Pennsylvania,3,Legionella pneumophila,Confirmed,Indoor Workplace/Office,3,3.0,3.0,0.0,3.0
43122,2017,5,Pennsylvania,3,Legionella pneumophila,Confirmed,Long term care facility,2,1.0,2.0,0.0,2.0
43125,2017,5,Arizona,0,Norovirus unknown; Norovirus Genogroup II,Confirmed; Confirmed,Other healthcare facility,54,0.0,35.0,0.0,35.0
43128,2017,7,New Mexico,0,Norovirus Genogroup I,Confirmed,Camp,123,0.0,123.0,0.0,123.0
43131,2017,7,Ohio,0,Norovirus Genogroup I; Norovirus Genogroup I,Confirmed; Suspected,Private home/residence,9,0.0,9.0,0.0,9.0
43132,2017,7,New York,0,Norovirus Genogroup II,Confirmed,Hotel/motel,17,0.0,17.0,0.0,17.0
43138,2017,7,Illinois,0,Norovirus,Suspected,Shelter/group home/transitional housing,5,0.0,5.0,0.0,5.0
43139,2017,2,Illinois,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,23,2.0,23.0,0.0,23.0
43141,2017,2,Illinois,1,Clostridium; Bacillus,Suspected; Suspected,Prison/jail,44,0.0,44.0,0.0,44.0
43142,2017,4,Illinois,2,Norovirus Genogroup II,Confirmed,Restaurant,51,0.0,51.0,0.0,51.0
43145,2016,4,Vermont,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,21,0.0,0.0,0.0,0.0
43146,2017,1,Illinois,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,6,0.0,6.0,0.0,6.0
43149,2016,7,Vermont,0,Norovirus Genogroup II,Confirmed,Camp,3,0.0,0.0,0.0,0.0
43151,2016,12,Vermont,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,25,1.0,1.0,0.0,0.0
43152,2017,7,Ohio,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,11,0.0,0.0,0.0,0.0
43153,2017,7,Oregon,2,Campylobacter jejuni,Confirmed,Private home/residence,5,0.0,5.0,0.0,5.0
43154,2017,5,Illinois,0,Norovirus,Suspected,School/college/university,63,0.0,63.0,0.0,63.0
43156,2017,4,Texas,0,Norovirus Genogroup II,Confirmed,"Other, specify",6,0.0,3.0,0.0,3.0
43159,2017,6,Kansas,2,Salmonella enterica,Confirmed,Long-term care/nursing home/assisted living facility,3,1.0,3.0,0.0,3.0
43160,2017,7,Kansas,1,Norovirus Genogroup I,Suspected,Restaurant - Sit-down dining,5,0.0,2.0,0.0,2.0
43161,2017,3,Multistate,1,Salmonella enterica,Confirmed,Unknown,151,31.0,125.0,0.0,125.0
43163,2017,6,Connecticut,1,Campylobacter jejuni,Confirmed,"Restaurant - Sit-down dining; Fair, festival, other temp or mobile services",13,2.0,13.0,0.0,13.0
43164,2016,7,Pennsylvania,2,Salmonella enterica,Confirmed,Restaurant,3,2.0,3.0,0.0,3.0
43165,2017,7,Wisconsin,0,Norovirus Genogroup I,Suspected,Long-term care/nursing home/assisted living facility,23,0.0,23.0,0.0,23.0
43168,2017,7,Iowa,1,Norovirus Genogroup II,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0.0,3.0,0.0,3.0
43170,2017,6,Pennsylvania,0,Shigella sonnei,Confirmed,Child day care,5,0.0,5.0,0.0,5.0
43171,2017,1,Florida,3,Legionella pneumophila,Confirmed,Assisted Living/Rehab,3,2.0,3.0,0.0,3.0
43172,2017,6,Vermont,1,Salmonella enterica,Confirmed,Banquet Facility (food prepared and served on-site); Caterer (food prepared off-site from where served),4,1.0,4.0,0.0,4.0
43173,2017,5,Pennsylvania,0,Campylobacter,Suspected,Private home/residence,3,1.0,3.0,0.0,3.0
43174,2017,5,Pennsylvania,2,Cryptosporidium parvum,Suspected,Camp,3,0.0,3.0,0.0,3.0
43175,2017,7,Massachusetts,0,Norovirus Genogroup I; Norovirus Genogroup I,Confirmed; Suspected,Religious facility,21,1.0,21.0,0.0,21.0
43176,2017,7,New York,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,10,1.0,10.0,0.0,10.0
43177,2017,7,South Carolina,0,Norovirus Genogroup I,Confirmed,Long-term care/nursing home/assisted living facility,14,0.0,14.0,0.0,14.0
43178,2017,7,Minnesota,3,Unknown - Virus,Suspected,Beach - Public,2,0.0,2.0,0.0,2.0
43179,2017,7,Virginia,1,Campylobacter jejuni,Suspected,Private home/residence,6,1.0,3.0,0.0,3.0
43180,2017,7,Virginia,1,Norovirus Genogroup II,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining",157,4.0,150.0,0.0,150.0
43181,2017,7,New York,1,Scombroid toxin,Confirmed,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3.0
43184,2017,6,Ohio,0,Shigella sonnei; Sapovirus; Astrovirus; Campylobacter jejuni,Confirmed; Confirmed; Suspected; Suspected,Child day care,13,0.0,13.0,0.0,13.0
43185,2017,7,Ohio,1,Norovirus,Suspected,Restaurant - other or unknown type,11,0.0,11.0,0.0,11.0
43186,2016,1,Vermont,0,Sapovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,37,0.0,0.0,0.0,0.0
43187,2016,10,California,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),9,2.0,9.0,0.0,9.0
43189,2016,2,Vermont,0,Norovirus Genogroup II; Norovirus Genogroup II,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,106,0.0,0.0,0.0,0.0
43192,2016,2,Vermont,0,Norovirus Genogroup I,Confirmed,Long-term care/nursing home/assisted living facility,35,0.0,0.0,0.0,0.0
43193,2016,2,Vermont,2,Norovirus Genogroup II,Confirmed,School/college/university,25,0.0,0.0,0.0,0.0
43194,2016,2,Vermont,0,Norovirus Genogroup II,Confirmed,Child day care,18,0.0,0.0,0.0,0.0
43195,2017,6,Virginia,2,"Escherichia coli, Shiga toxin-producing",Confirmed,Private home/residence,4,2.0,4.0,0.0,4.0
43197,2017,7,Oregon,2,Norovirus,Suspected,School/college/university,8,0.0,8.0,0.0,8.0
43198,2017,7,Oregon,0,Norovirus Genogroup II,Confirmed,Camp,14,0.0,14.0,0.0,14.0
43200,2017,7,Oregon,2,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,19,1.0,19.0,0.0,19.0
43201,2017,4,Texas,0,Shigella,Suspected,Unknown,4,1.0,4.0,0.0,4.0
43203,2017,6,Ohio,0,Shigella sonnei; Shigella sonnei,Confirmed; Confirmed,Child day care,4,1.0,4.0,0.0,4.0
43204,2017,6,Texas,2,Campylobacter unknown,Suspected,Unknown,4,0.0,4.0,0.0,4.0
43205,2017,6,Oregon,1,Salmonella enterica,Confirmed,"Restaurant - other or unknown type; Private home/residence; Fair, festival, other temp or mobile services",8,0.0,8.0,0.0,8.0
43206,2016,11,Vermont,2,Salmonella enterica,Confirmed,Private home/residence,3,0.0,3.0,0.0,3.0
43207,2016,10,Vermont,2,Campylobacter jejuni,Confirmed,Unknown,3,1.0,3.0,0.0,3.0
43208,2017,7,Washington,3,Legionella pneumophila,Confirmed,Club (Requires Membership),3,2.0,3.0,0.0,3.0
43209,2016,12,West Virginia,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,41,0.0,41.0,0.0,41.0
43212,2017,1,West Virginia,0,Norovirus Genogroup I,Suspected,Long-term care/nursing home/assisted living facility,46,0.0,46.0,0.0,46.0
43214,2017,1,West Virginia,0,Norovirus Genogroup I; Norovirus Genogroup II,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,27,0.0,27.0,0.0,27.0
43215,2017,1,Pennsylvania,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,49,0.0,0.0,0.0,0.0
43216,2017,6,Pennsylvania,0,Norovirus unknown,Suspected,Hotel/motel,50,0.0,0.0,0.0,0.0
43217,2016,10,Pennsylvania,3,Legionella pneumophila,Confirmed,Long Term Care Facility,3,2.0,3.0,0.0,3.0
43218,2017,1,West Virginia,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,42,0.0,42.0,0.0,42.0
43220,2017,1,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,32,1.0,32.0,0.0,32.0
43221,2017,1,West Virginia,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,30,0.0,30.0,0.0,30.0
43222,2017,1,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,11,1.0,11.0,0.0,11.0
43223,2017,1,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,49,1.0,49.0,0.0,49.0
43226,2017,1,West Virginia,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,54,0.0,54.0,0.0,54.0
43227,2017,1,West Virginia,0,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,47,0.0,47.0,0.0,47.0
43228,2017,1,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,12,0.0,9.0,0.0,9.0
43231,2017,1,West Virginia,0,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,22,0.0,22.0,0.0,22.0
43232,2017,2,West Virginia,0,Norovirus Genogroup I; Norovirus Genogroup II; Rotavirus,Confirmed; Confirmed; Suspected,Long-term care/nursing home/assisted living facility,47,0.0,47.0,0.0,47.0
43233,2017,1,West Virginia,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,15,1.0,15.0,0.0,15.0
43236,2017,2,West Virginia,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,40,0.0,40.0,0.0,40.0
43240,2017,2,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,10,0.0,10.0,0.0,10.0
43241,2017,2,West Virginia,2,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,22,0.0,22.0,0.0,22.0
43243,2017,3,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,40,0.0,40.0,0.0,40.0
43244,2017,3,West Virginia,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,41,0.0,41.0,0.0,41.0
43245,2017,3,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,58,0.0,58.0,0.0,58.0
43246,2017,3,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,21,0.0,21.0,0.0,21.0
43250,2017,4,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,78,0.0,78.0,0.0,78.0
43251,2017,4,West Virginia,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,42,0.0,42.0,0.0,42.0
43255,2017,5,West Virginia,0,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,22,0.0,22.0,0.0,22.0
43257,2017,7,Ohio,3,Norovirus unknown,Suspected,Park - Unknown,5,0.0,5.0,0.0,5.0
43258,2017,7,Ohio,2,Norovirus Genogroup II,Confirmed,Child day care,13,0.0,3.0,0.0,3.0
43259,2017,4,Illinois,1,Norovirus Genogroup I,Confirmed,Restaurant - Sit-down dining,7,0.0,7.0,0.0,7.0
43260,2017,4,Illinois,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,11,1.0,11.0,0.0,11.0
43263,2017,7,Kentucky,1,Bacillus cereus,Confirmed,Caterer (food prepared off-site from where served),6,0.0,6.0,0.0,6.0
43267,2017,7,Iowa,0,Norovirus Genogroup I; Norovirus Genogroup I,Confirmed; Suspected,Camp,20,0.0,20.0,0.0,20.0
43268,2017,7,Iowa,0,Norovirus Genogroup II,Confirmed,Camp,31,0.0,18.0,0.0,18.0
43269,2017,7,Iowa,1,Clostridium perfringens,Confirmed,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3.0
43270,2017,7,Ohio,0,Norovirus unknown,Confirmed,Restaurant,15,0.0,0.0,0.0,0.0
43271,2017,7,New York,1,Salmonella enterica; Campylobacter jejuni,Confirmed; Suspected,Restaurant - Sit-down dining,13,0.0,12.0,0.0,13.0
43272,2017,7,Massachusetts,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,19,0.0,19.0,0.0,19.0
43273,2017,3,Multistate,4,Salmonella enterica,Confirmed,"Other, specify",29,6.0,22.0,0.0,22.0
43274,2017,6,Michigan,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining; Private home/residence,8,1.0,8.0,0.0,8.0
43276,2016,2,Massachusetts,0,Norovirus,Suspected,"Other, specify",30,0.0,30.0,0.0,30.0
43277,2016,3,Massachusetts,0,Norovirus,Suspected,"Other, specify",15,0.0,15.0,0.0,15.0
43278,2017,7,Alaska,1,Paralytic shellfish poison,Confirmed,Private home/residence,5,0.0,5.0,0.0,5.0
43279,2013,6,Multistate,1,Salmonella enterica,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining",7,1.0,7.0,0.0,7.0
43280,2017,1,Texas,4,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,22,1.0,22.0,0.0,22.0
43281,2017,6,Tennessee,2,Cyclospora cayetanensis; Cryptosporidium unknown,Confirmed; Confirmed,Office/indoor workplace,6,0.0,6.0,0.0,6.0
43282,2017,7,Tennessee,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,11,0.0,11.0,0.0,11.0
43284,2017,5,Kentucky,0,Shigella sonnei,Confirmed,Child day care,9,0.0,9.0,0.0,9.0
43285,2017,1,Montana,2,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,5,1.0,5.0,0.0,5.0
43286,2017,1,Montana,2,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,4,0.0,4.0,0.0,4.0
43288,2016,7,Montana,3,Legionella pneumophila,Confirmed,Long term care facility,2,2.0,2.0,0.0,2.0
43289,2017,7,Ohio,3,Legionella pneumophila,Confirmed,Long Term Care Facility,2,2.0,2.0,0.0,2.0
43290,2017,2,Texas,4,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,9,1.0,9.0,0.0,9.0
43292,2017,5,Texas,2,Campylobacter unknown,Confirmed,School/college/university,2,0.0,2.0,0.0,2.0
43293,2017,7,Virginia,2,"Escherichia coli, Shiga toxin-producing",Confirmed,"Other, specify",4,3.0,4.0,0.0,4.0
43294,2017,1,Pennsylvania,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,20,0.0,0.0,0.0,0.0
43295,2017,6,Pennsylvania,2,Giardia unknown,Confirmed,Private home/residence,4,0.0,4.0,0.0,4.0
43296,2017,7,Oregon,2,Norovirus Genogroup II,Suspected,Child day care,38,0.0,38.0,0.0,38.0
43298,2016,3,Texas,2,Shigella sonnei,Confirmed,School/college/university,24,0.0,24.0,0.0,24.0
43299,2017,7,Hawaii,1,Norovirus Genogroup II,Confirmed,Restaurant - Buffet,32,0.0,32.0,0.0,32.0
43300,2017,5,Florida,1,Cyclospora cayetanensis,Confirmed,Caterer (food prepared off-site from where served),6,0.0,6.0,0.0,6.0
43301,2017,7,Minnesota,0,"Escherichia coli, Shiga toxin-producing",Confirmed,Child day care,5,0.0,5.0,0.0,5.0
43303,2017,1,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,5,0.0,5.0,0.0,5.0
43304,2017,3,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,4,0.0,4.0,0.0,4.0
43307,2017,4,California,1,Norovirus unknown,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0.0,4.0,0.0,4.0
43309,2015,12,California,1,Other - Chemical/Toxin,Suspected,Grocery store,3,0.0,3.0,0.0,3.0
43311,2015,1,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,2,0.0,2.0,0.0,2.0
43312,2015,6,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,6,0.0,6.0,0.0,6.0
43313,2016,1,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,2,0.0,2.0,0.0,2.0
43314,2016,4,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,3,0.0,3.0,0.0,3.0
43315,2016,5,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,4,0.0,4.0,0.0,4.0
43317,2017,7,Virginia,0,Norovirus,Suspected,Camp,35,0.0,35.0,0.0,35.0
43318,2017,7,Ohio,0,Norovirus Genogroup II; Norovirus Genogroup II,Confirmed; Suspected,Child day care,26,0.0,0.0,0.0,0.0
43320,2017,7,Ohio,1,"Escherichia coli, Shiga toxin-producing",Confirmed,Caterer (food prepared off-site from where served); Camp,37,2.0,13.0,0.0,13.0
43321,2017,7,Pennsylvania,2,Campylobacter,Suspected,Private home/residence,2,2.0,2.0,0.0,2.0
43322,2017,7,Ohio,0,Norovirus Genogroup I; Norovirus,Confirmed; Suspected,Office/indoor workplace,19,0.0,19.0,0.0,19.0
43323,2017,7,Michigan,2,Norovirus,Suspected,Restaurant,9,0.0,9.0,0.0,9.0
43324,2017,7,Alaska,1,Paralytic shellfish poison; Paralytic shellfish poison,Confirmed; Confirmed,Private home/residence,3,0.0,3.0,0.0,3.0
43326,2017,7,Oregon,0,Norovirus Genogroup I,Confirmed,Long-term care/nursing home/assisted living facility,23,0.0,23.0,0.0,23.0
43327,2017,7,Oregon,2,Norovirus Genogroup II,Confirmed,Private home/residence,8,0.0,8.0,0.0,8.0
43328,2017,7,Wisconsin,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,6,0.0,6.0,0.0,6.0
43329,2017,7,Minnesota,1,Clostridium perfringens; Bacillus cereus,Suspected; Suspected,Restaurant - Sit-down dining,4,0.0,4.0,0.0,4.0
43330,2017,1,Illinois,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,19,0.0,19.0,0.0,19.0
43335,2017,5,California,1,Norovirus unknown,Suspected,Restaurant - Sit-down dining,7,1.0,7.0,0.0,7.0
43339,2016,9,California,1,Norovirus unknown,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0.0,3.0,0.0,3.0
43340,2017,1,Connecticut,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,33,2.0,33.0,0.0,33.0
43341,2017,6,Kentucky,0,Norovirus unknown,Suspected,Prison/jail,2,0.0,2.0,0.0,2.0
43344,2017,1,Connecticut,0,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,25,0.0,25.0,0.0,25.0
43350,2017,7,Ohio,0,Shigella sonnei,Confirmed,Child day care,7,0.0,0.0,0.0,0.0
43351,2017,7,Georgia,2,Salmonella enterica,Confirmed,Child day care,3,0.0,3.0,0.0,3.0
43352,2017,6,Texas,1,Salmonella enterica,Confirmed,Private home/residence,11,4.0,5.0,1.0,11.0
43353,2017,7,New York,1,Salmonella enterica,Confirmed,Caterer (food prepared off-site from where served),32,6.0,28.0,0.0,32.0
43354,2017,7,Ohio,0,Shigella sonnei,Suspected,Child day care,6,0.0,0.0,0.0,0.0
43355,2017,7,Ohio,1,Clostridium perfringens,Confirmed,Restaurant - Sit-down dining,2,0.0,2.0,0.0,2.0
43356,2017,7,Virginia,3,Legionella pneumophila,Confirmed,Club (Requires Membership),2,2.0,2.0,0.0,2.0
43358,2017,7,Missouri,0,Norovirus unknown,Confirmed,Event space,15,0.0,15.0,0.0,15.0
43359,2017,7,Ohio,2,Giardia unknown,Confirmed,Private home/residence,5,2.0,2.0,0.0,0.0
43360,2016,9,Texas,0,Shigella sonnei,Confirmed,Child day care,4,1.0,4.0,0.0,4.0
43361,2017,7,Maryland,1,Clostridium perfringens,Confirmed,Caterer (food prepared off-site from where served),46,0.0,46.0,0.0,46.0
43362,2017,7,Maryland,1,Clostridium perfringens,Confirmed,"Fair, festival, other temp or mobile services; Other",40,0.0,40.0,0.0,40.0
43364,2016,9,Florida,1,Salmonella enterica; Salmonella enterica,Confirmed; Confirmed,Restaurant - Sit-down dining,2,2.0,2.0,1.0,2.0
43365,2017,7,Ohio,0,Cryptosporidium,Suspected,Child day care,7,0.0,0.0,0.0,0.0
43366,2016,8,Colorado,1,Bacillus cereus; Staphylococcus aureus,Suspected; Suspected,Restaurant - Sit-down dining,12,0.0,12.0,0.0,12.0
43367,2017,7,Minnesota,0,Cryptosporidium hominis,Confirmed,Private home/residence,9,0.0,9.0,0.0,9.0
43371,2017,6,Minnesota,0,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",Confirmed; Suspected,Child day care,8,0.0,8.0,0.0,8.0
43372,2017,7,Nebraska,0,Norovirus Genogroup II,Suspected,Private home/residence,8,1.0,8.0,0.0,8.0
43373,2017,6,Oklahoma,1,Salmonella enterica,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",5,2.0,5.0,0.0,5.0
43374,2017,6,Michigan,1,Campylobacter; Salmonella enterica,Suspected; Confirmed,Restaurant - Sit-down dining,6,3.0,5.0,0.0,5.0
43375,2017,5,Multistate,1,Listeria monocytogenes,Confirmed,Unknown,6,6.0,6.0,0.0,6.0
43376,2016,12,Multistate,1,Salmonella enterica,Confirmed,Private home/residence,20,5.0,11.0,1.0,11.0
43377,2017,7,Ohio,0,Norovirus Genogroup I; Norovirus,Suspected; Suspected,Camp,41,1.0,35.0,0.0,35.0
43378,2017,7,New Mexico,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,10,1.0,10.0,0.0,10.0
43379,2017,7,Wisconsin,1,"Salmonella enterica; Salmonella enterica; Escherichia coli, Shiga toxin-producing",Confirmed; Suspected; Suspected,Private home/residence,36,3.0,35.0,0.0,36.0
43380,2017,7,Wisconsin,0,Cryptosporidium unknown,Confirmed,Child day care,4,0.0,4.0,0.0,4.0
43381,2016,10,Alabama,2,Shigella; Sapovirus,Suspected; Suspected,Child day care,2,0.0,2.0,0.0,2.0
43382,2017,8,Ohio,1,Norovirus Genogroup I,Confirmed,Restaurant - other or unknown type,381,3.0,376.0,0.0,376.0
43383,2015,10,California,1,Salmonella enterica,Confirmed,Unknown,47,17.0,43.0,0.0,47.0
43384,2013,6,California,1,Listeria monocytogenes,Confirmed,Other,28,25.0,26.0,3.0,28.0
43385,2015,12,California,1,Salmonella enterica,Confirmed,Unknown,42,8.0,42.0,0.0,42.0
43386,2016,11,California,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,18,3.0,15.0,0.0,17.0
43388,2017,7,Ohio,0,Salmonella enterica,Suspected,"Other, specify",11,1.0,11.0,0.0,11.0
